Num_Houses,Avg_Area,Status,Season,Peak_Load_kVA,Transformer_Size_kVA
23,395,Middle,Autumn,143.97,250
38,197,High,Spring,235.55,400
77,140,Low,Autumn,172.03,250
49,272,Middle,Winter,365.95,630
37,175,High,Winter,337.17,400
92,237,Middle,Autumn,332.66,400
27,396,Low,Autumn,116.83,250
32,274,Low,Summer,167.39,250
98,196,High,Autumn,517.29,630
82,171,Low,Summer,266.7,400
66,359,High,Autumn,460.74,630
59,306,High,Autumn,417.5,630
40,318,Low,Spring,136.67,250
11,149,High,Winter,107.03,250
88,338,High,Spring,521.71,630
59,303,Middle,Autumn,283.54,400
96,261,High,Summer,882.11,1000
63,266,Low,Winter,309.0,400
40,121,High,Summer,373.45,630
10,259,High,Winter,112.33,250
14,342,Middle,Winter,122.81,250
31,130,High,Winter,310.62,400
76,197,Middle,Autumn,303.53,400
34,153,Middle,Summer,193.98,250
22,188,Middle,Autumn,91.32,250
57,301,Middle,Autumn,276.92,400
31,247,Middle,Summer,214.06,250
52,182,Middle,Autumn,226.81,250
20,290,Middle,Summer,163.07,250
66,179,High,Winter,584.13,1000
14,310,Middle,Autumn,81.84,100
49,374,Middle,Winter,412.58,630
95,122,Low,Summer,274.87,400
53,173,High,Winter,442.19,630
61,162,Low,Autumn,160.0,250
22,346,Low,Summer,142.76,250
83,343,Low,Spring,282.31,400
33,307,Middle,Autumn,172.87,250
68,262,Middle,Spring,288.96,400
49,113,High,Summer,412.09,630
46,365,Low,Autumn,182.94,250
88,261,Middle,Spring,341.1,400
59,162,Middle,Winter,316.84,400
69,281,Middle,Winter,479.77,630
98,357,Middle,Spring,487.44,630
83,224,Low,Winter,349.86,400
15,357,Middle,Spring,96.0,250
28,371,Middle,Winter,245.42,400
58,271,High,Winter,635.19,1000
44,201,Low,Autumn,131.04,250
50,284,High,Autumn,313.32,400
72,238,Middle,Spring,292.38,400
24,260,Low,Spring,75.1,100
91,284,Middle,Autumn,391.26,630
62,326,Middle,Autumn,297.98,400
40,138,High,Spring,247.58,400
78,308,Middle,Spring,371.99,630
48,194,High,Spring,290.92,400
18,134,Low,Autumn,45.65,100
65,365,Middle,Summer,529.55,630
64,334,Middle,Summer,452.57,630
34,261,Low,Spring,106.07,250
89,378,High,Spring,545.15,630
22,333,Low,Spring,96.16,250
50,262,Middle,Summer,318.18,400
38,125,Low,Autumn,86.43,100
56,224,High,Winter,520.13,630
18,132,High,Autumn,116.55,250
81,160,High,Autumn,449.83,630
38,242,Low,Summer,179.95,250
27,387,Middle,Spring,152.95,250
55,146,Low,Spring,124.15,250
65,164,Low,Summer,217.46,250
81,197,Low,Spring,200.53,250
54,297,Middle,Autumn,240.92,400
64,121,Low,Winter,202.09,250
95,134,Middle,Winter,481.49,630
34,121,High,Winter,292.23,400
33,377,Middle,Summer,273.3,400
90,391,High,Summer,881.02,1000
19,121,High,Autumn,107.76,250
88,284,Low,Summer,426.53,630
85,330,High,Summer,774.97,1000
91,176,Middle,Summer,444.58,630
58,260,Low,Spring,186.21,250
27,218,High,Autumn,197.52,250
64,302,Middle,Winter,484.51,630
96,298,Low,Summer,462.2,630
25,169,High,Spring,160.19,250
99,371,Low,Summer,503.12,630
95,395,Middle,Spring,468.02,630
82,194,Middle,Winter,428.97,630
82,254,Middle,Winter,552.11,630
96,297,High,Summer,908.66,1000
30,157,Middle,Summer,189.58,250
85,314,Low,Spring,288.86,400
46,282,Low,Summer,219.11,250
97,287,High,Spring,562.86,630
57,106,Low,Summer,172.22,250
96,376,Low,Summer,456.93,630
45,394,Middle,Autumn,238.18,400
69,180,Low,Summer,253.3,400
90,235,High,Summer,840.25,1000
40,351,Middle,Spring,222.12,250
33,128,Middle,Summer,178.09,250
25,187,Low,Spring,66.46,100
40,195,Middle,Autumn,161.05,250
46,102,Low,Autumn,98.34,250
16,146,Low,Summer,62.49,100
59,264,Middle,Winter,434.69,630
22,253,Low,Autumn,72.14,100
56,172,Middle,Spring,239.69,400
95,360,Middle,Autumn,412.6,630
43,248,High,Winter,435.47,630
23,185,High,Winter,218.73,250
58,124,Low,Summer,209.04,250
50,237,High,Autumn,304.59,400
94,315,Low,Winter,458.61,630
63,104,Low,Spring,136.01,250
23,371,Middle,Spring,144.38,250
20,326,Low,Autumn,72.23,100
45,367,High,Spring,372.97,630
48,204,Low,Spring,126.82,250
67,299,High,Summer,691.64,1000
81,345,High,Summer,861.93,1000
100,206,Middle,Spring,356.56,400
92,308,High,Autumn,519.56,630
68,244,High,Autumn,384.18,630
89,260,Low,Summer,367.87,630
27,211,High,Spring,176.69,250
98,255,Middle,Autumn,357.01,400
60,255,Low,Winter,258.19,400
18,102,Low,Autumn,45.19,50
47,299,High,Autumn,322.15,400
20,188,Middle,Autumn,83.54,100
49,207,Middle,Autumn,228.32,400
40,321,Middle,Summer,294.99,400
33,228,Middle,Winter,226.8,250
90,171,Middle,Spring,333.57,400
61,176,Low,Spring,146.77,250
100,161,Middle,Spring,319.41,400
70,324,High,Summer,713.39,1000
69,365,Low,Winter,392.82,630
92,390,Low,Winter,514.47,630
14,396,Middle,Autumn,87.97,100
84,251,High,Summer,682.78,1000
24,379,Low,Autumn,104.03,250
47,113,High,Summer,378.35,630
95,332,High,Autumn,566.35,630
72,213,Middle,Spring,290.35,400
91,163,Middle,Autumn,300.36,400
71,208,High,Spring,456.3,630
50,255,High,Summer,467.36,630
67,347,Middle,Autumn,303.06,400
79,380,Low,Summer,457.47,630
77,263,Middle,Summer,489.14,630
13,130,Middle,Winter,79.15,100
73,393,High,Winter,853.54,1000
98,358,High,Winter,949.24,1000
98,232,Low,Summer,354.72,400
15,123,Middle,Autumn,61.64,100
96,328,Low,Spring,333.64,400
71,124,High,Summer,588.12,1000
17,109,High,Summer,170.2,250
29,116,Low,Spring,62.64,100
77,268,High,Winter,765.0,1000
49,277,Middle,Winter,336.56,400
75,227,Middle,Winter,467.43,630
41,168,Low,Spring,100.07,250
20,300,High,Autumn,139.56,250
33,103,Low,Winter,110.03,250
66,155,Middle,Autumn,227.5,400
77,145,High,Autumn,451.59,630
26,244,High,Autumn,173.06,250
53,342,Middle,Summer,387.73,630
97,286,High,Winter,842.53,1000
49,347,High,Winter,527.2,630
85,116,Low,Summer,236.39,400
22,218,High,Autumn,145.96,250
31,207,High,Summer,298.74,400
34,139,High,Summer,286.13,400
63,245,Middle,Winter,383.1,630
39,138,Low,Autumn,94.09,250
94,175,Middle,Summer,455.5,630
23,268,Low,Autumn,83.29,100
90,118,Low,Spring,174.99,250
63,271,Middle,Autumn,312.57,400
62,123,Middle,Summer,329.69,400
89,326,Low,Winter,455.33,630
22,310,High,Summer,252.24,400
60,237,Low,Winter,268.03,400
100,104,Low,Summer,285.3,400
85,211,Middle,Winter,539.63,630
87,375,Low,Summer,441.91,630
38,261,Middle,Summer,253.38,400
83,297,Low,Spring,286.94,400
